Product Name,Price,Rating,Ratings Count,Product Link
"Apple iPhone 16 (Teal, 256 GB)","₹84,900",4.6,"(19,106)",https://www.flipkart.com/apple-iphone-16-teal-256-gb/p/itm2b7be11cfadef?pid=MOBH4DQFYKJHESFG&lid=LSTMOBH4DQFYKJHESFGP6ZE0Z&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_43_QBM1SMZJ3K19_MC.MOBH4DQFYKJHESFG&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Apple%2BSmartphones_1_43.productCard.PMU_V2_Apple%2BiPhone%2B16%2B%2528Teal%252C%2B256%2BGB%2529_mobile-phones-store_MOBH4DQFYKJHESFG_neo%2Fmerchandising_0&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Apple%2BSmartphones_LIST_productCard_cc_1_NA_view-all&cid=MOBH4DQFYKJHESFG
"Apple iPhone 16 (White, 128 GB)","₹74,900",4.6,"(19,106)",https://www.flipkart.com/apple-iphone-16-white-128-gb/p/itm7c0281cd247be?pid=MOBH4DQF849HCG6G&lid=LSTMOBH4DQF849HCG6GXHBPXY&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_43_QBM1SMZJ3K19_MC.MOBH4DQF849HCG6G&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Apple%2BSmartphones_2_43.productCard.PMU_V2_Apple%2BiPhone%2B16%2B%2528White%252C%2B128%2BGB%2529_mobile-phones-store_MOBH4DQF849HCG6G_neo%2Fmerchandising_1&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Apple%2BSmartphones_LIST_productCard_cc_2_NA_view-all&cid=MOBH4DQF849HCG6G
"Apple iPhone 13 (Starlight, 128 GB)","₹44,999",4.6,"(2,92,758)",https://www.flipkart.com/apple-iphone-13-starlight-128-gb/p/itmc9604f122ae7f?pid=MOBG6VF5ADKHKXFX&lid=LSTMOBG6VF5ADKHKXFX4LCPEV&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_43_QBM1SMZJ3K19_MC.MOBG6VF5ADKHKXFX&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Apple%2BSmartphones_3_43.productCard.PMU_V2_Apple%2BiPhone%2B13%2B%2528Starlight%252C%2B128%2BGB%2529_mobile-phones-store_MOBG6VF5ADKHKXFX_neo%2Fmerchandising_2&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Apple%2BSmartphones_LIST_productCard_cc_3_NA_view-all&cid=MOBG6VF5ADKHKXFX
"Apple iPhone 16 (Black, 256 GB)","₹84,900",4.6,"(19,106)",https://www.flipkart.com/apple-iphone-16-black-256-gb/p/itm86da1977dcdf1?pid=MOBH4DQFZCJJXUFG&lid=LSTMOBH4DQFZCJJXUFGO5DY3W&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_43_QBM1SMZJ3K19_MC.MOBH4DQFZCJJXUFG&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Apple%2BSmartphones_4_43.productCard.PMU_V2_Apple%2BiPhone%2B16%2B%2528Black%252C%2B256%2BGB%2529_mobile-phones-store_MOBH4DQFZCJJXUFG_neo%2Fmerchandising_3&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Apple%2BSmartphones_LIST_productCard_cc_4_NA_view-all&cid=MOBH4DQFZCJJXUFG
"Apple iPhone 13 (Midnight, 128 GB)","₹44,999",4.6,"(2,92,758)",https://www.flipkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_43_QBM1SMZJ3K19_MC.MOBG6VF5Q82T3XRS&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Apple%2BSmartphones_5_43.productCard.PMU_V2_Apple%2BiPhone%2B13%2B%2528Midnight%252C%2B128%2BGB%2529_mobile-phones-store_MOBG6VF5Q82T3XRS_neo%2Fmerchandising_4&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Apple%2BSmartphones_LIST_productCard_cc_5_NA_view-all&cid=MOBG6VF5Q82T3XRS
"Apple iPhone 16e (White, 128 GB)","₹54,900",4.5,"(1,327)",https://www.flipkart.com/apple-iphone-16e-white-128-gb/p/itm7971f594b0906?pid=MOBH9JVHFHJJEFFX&lid=LSTMOBH9JVHFHJJEFFXTPSVBJ&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_43_QBM1SMZJ3K19_MC.MOBH9JVHFHJJEFFX&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Apple%2BSmartphones_6_43.productCard.PMU_V2_Apple%2BiPhone%2B16e%2B%2528White%252C%2B128%2BGB%2529_mobile-phones-store_MOBH9JVHFHJJEFFX_neo%2Fmerchandising_5&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Apple%2BSmartphones_LIST_productCard_cc_6_NA_view-all&cid=MOBH9JVHFHJJEFFX
"Motorola g45 5G (Brilliant Green, 128 GB)","₹11,999",4.3,"(1,89,489)",https://www.flipkart.com/motorola-g45-5g-brilliant-green-128-gb/p/itm4f3bbebe58a57?pid=MOBH3YKQQN3S9TQQ&lid=LSTMOBH3YKQQN3S9TQQIXCQDO&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_44_AWE1529WOLK1_MC.MOBH3YKQQN3S9TQQ&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Motorola%2Bsmartphones_1_44.productCard.PMU_V2_Motorola%2Bg45%2B5G%2B%2528Brilliant%2BGreen%252C%2B128%2BGB%2529_mobile-phones-store_MOBH3YKQQN3S9TQQ_neo%2Fmerchandising_0&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Motorola%2Bsmartphones_LIST_productCard_cc_1_NA_view-all&cid=MOBH3YKQQN3S9TQQ
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹11,999",4.3,"(1,89,489)",https://www.flipkart.com/motorola-g45-5g-brilliant-blue-128-gb/p/itmc45105311348e?pid=MOBH3YKQT2HEAPAM&lid=LSTMOBH3YKQT2HEAPAMTX4TTX&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_44_AWE1529WOLK1_MC.MOBH3YKQT2HEAPAM&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Motorola%2Bsmartphones_2_44.productCard.PMU_V2_Motorola%2Bg45%2B5G%2B%2528Brilliant%2BBlue%252C%2B128%2BGB%2529_mobile-phones-store_MOBH3YKQT2HEAPAM_neo%2Fmerchandising_1&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Motorola%2Bsmartphones_LIST_productCard_cc_2_NA_view-all&cid=MOBH3YKQT2HEAPAM
"MOTOROLA g05 (Forest Green, 64 GB)","₹7,299",4.2,"(41,209)",https://www.flipkart.com/motorola-g05-forest-green-64-gb/p/itme5ed06a5943b9?pid=MOBH5F3Q2SGMAFHR&lid=LSTMOBH5F3Q2SGMAFHR6YHZS0&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_44_AWE1529WOLK1_MC.MOBH5F3Q2SGMAFHR&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Motorola%2Bsmartphones_3_44.productCard.PMU_V2_MOTOROLA%2Bg05%2B%2528Forest%2BGreen%252C%2B64%2BGB%2529_mobile-phones-store_MOBH5F3Q2SGMAFHR_neo%2Fmerchandising_2&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Motorola%2Bsmartphones_LIST_productCard_cc_3_NA_view-all&cid=MOBH5F3Q2SGMAFHR
"MOTOROLA g35 5G (Midnight Black, 128 GB)","₹9,999",4.2,"(61,998)",https://www.flipkart.com/motorola-g35-5g-midnight-black-128-gb/p/itm015cbd184b0eb?pid=MOBH3YGPTSA4SZQF&lid=LSTMOBH3YGPTSA4SZQF0KIKVP&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_44_AWE1529WOLK1_MC.MOBH3YGPTSA4SZQF&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Motorola%2Bsmartphones_4_44.productCard.PMU_V2_MOTOROLA%2Bg35%2B5G%2B%2528Midnight%2BBlack%252C%2B128%2BGB%2529_mobile-phones-store_MOBH3YGPTSA4SZQF_neo%2Fmerchandising_3&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Motorola%2Bsmartphones_LIST_productCard_cc_4_NA_view-all&cid=MOBH3YGPTSA4SZQF
"MOTOROLA g35 5G (Leaf Green, 128 GB)","₹9,999",4.2,"(61,998)",https://www.flipkart.com/motorola-g35-5g-leaf-green-128-gb/p/itma3ca32cc93927?pid=MOBH3YGPQHRSNQED&lid=LSTMOBH3YGPQHRSNQEDLDGOMQ&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_44_AWE1529WOLK1_MC.MOBH3YGPQHRSNQED&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Motorola%2Bsmartphones_5_44.productCard.PMU_V2_MOTOROLA%2Bg35%2B5G%2B%2528Leaf%2BGreen%252C%2B128%2BGB%2529_mobile-phones-store_MOBH3YGPQHRSNQED_neo%2Fmerchandising_4&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Motorola%2Bsmartphones_LIST_productCard_cc_5_NA_view-all&cid=MOBH3YGPQHRSNQED
"Motorola g45 5G (Brilliant Blue, 128 GB)","₹10,999",4.3,"(47,199)",https://www.flipkart.com/motorola-g45-5g-brilliant-blue-128-gb/p/itm83cc1cca54e32?pid=MOBH3YKQQDZZ2WZH&lid=LSTMOBH3YKQQDZZ2WZHGOH35A&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_44_AWE1529WOLK1_MC.MOBH3YKQQDZZ2WZH&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Motorola%2Bsmartphones_6_44.productCard.PMU_V2_Motorola%2Bg45%2B5G%2B%2528Brilliant%2BBlue%252C%2B128%2BGB%2529_mobile-phones-store_MOBH3YKQQDZZ2WZH_neo%2Fmerchandising_5&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Motorola%2Bsmartphones_LIST_productCard_cc_6_NA_view-all&cid=MOBH3YKQQDZZ2WZH
"Samsung Galaxy F05 (Twilight Blue, 64 GB)","₹6,499",4.2,"(59,163)",https://www.flipkart.com/samsung-galaxy-f05-twilight-blue-64-gb/p/itm84a914081ab93?pid=MOBH4GTXZ9ZRQ3SU&lid=LSTMOBH4GTXZ9ZRQ3SUXCBGGE&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_45_42OTAAY8KIGZ_MC.MOBH4GTXZ9ZRQ3SU&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Samsung%2Bsmartphones_1_45.productCard.PMU_V2_Samsung%2BGalaxy%2BF05%2B%2528Twilight%2BBlue%252C%2B64%2BGB%2529_mobile-phones-store_MOBH4GTXZ9ZRQ3SU_neo%2Fmerchandising_0&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Samsung%2Bsmartphones_LIST_productCard_cc_1_NA_view-all&cid=MOBH4GTXZ9ZRQ3SU
"Samsung Galaxy F16 5G (Bling Black, 128 GB)","₹12,499",4.2,"(2,544)",https://www.flipkart.com/samsung-galaxy-f16-5g-bling-black-128-gb/p/itm98473f83de0f1?pid=MOBH9ASGZWYBDPUD&lid=LSTMOBH9ASGZWYBDPUDPEFY5L&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_45_42OTAAY8KIGZ_MC.MOBH9ASGZWYBDPUD&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Samsung%2Bsmartphones_2_45.productCard.PMU_V2_Samsung%2BGalaxy%2BF16%2B5G%2B%2528Bling%2BBlack%252C%2B128%2BGB%2529_mobile-phones-store_MOBH9ASGZWYBDPUD_neo%2Fmerchandising_1&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Samsung%2Bsmartphones_LIST_productCard_cc_2_NA_view-all&cid=MOBH9ASGZWYBDPUD
"Samsung Galaxy F06 5G (Lit Violet, 64 GB)","₹8,999",4.1,"(16,296)",https://www.flipkart.com/samsung-galaxy-f06-5g-lit-violet-64-gb/p/itm1390a80a68073?pid=MOBHBF5JG3BPANSG&lid=LSTMOBHBF5JG3BPANSGWYWEPP&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_45_42OTAAY8KIGZ_MC.MOBHBF5JG3BPANSG&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Samsung%2Bsmartphones_3_45.productCard.PMU_V2_Samsung%2BGalaxy%2BF06%2B5G%2B%2528Lit%2BViolet%252C%2B64%2BGB%2529_mobile-phones-store_MOBHBF5JG3BPANSG_neo%2Fmerchandising_2&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Samsung%2Bsmartphones_LIST_productCard_cc_3_NA_view-all&cid=MOBHBF5JG3BPANSG
"Samsung Galaxy A35 5G (Awesome Iceblue, 256 GB)","₹23,999",4.3,"(20,327)",https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-iceblue-256-gb/p/itmd3af671af1e42?pid=MOBGYT2HYAAHS3ZR&lid=LSTMOBGYT2HYAAHS3ZRNFRJP2&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_45_42OTAAY8KIGZ_MC.MOBGYT2HYAAHS3ZR&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Samsung%2Bsmartphones_4_45.productCard.PMU_V2_Samsung%2BGalaxy%2BA35%2B5G%2B%2528Awesome%2BIceblue%252C%2B256%2BGB%2529_mobile-phones-store_MOBGYT2HYAAHS3ZR_neo%2Fmerchandising_3&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Samsung%2Bsmartphones_LIST_productCard_cc_4_NA_view-all&cid=MOBGYT2HYAAHS3ZR
"Samsung Galaxy A35 5G (Awesome Iceblue, 128 GB)","₹21,999",4.3,"(20,327)",https://www.flipkart.com/samsung-galaxy-a35-5g-awesome-iceblue-128-gb/p/itm9684d2fe9201e?pid=MOBGYT2HEYWFCG8Q&lid=LSTMOBGYT2HEYWFCG8QSW6D6Y&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_45_42OTAAY8KIGZ_MC.MOBGYT2HEYWFCG8Q&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Samsung%2Bsmartphones_5_45.productCard.PMU_V2_Samsung%2BGalaxy%2BA35%2B5G%2B%2528Awesome%2BIceblue%252C%2B128%2BGB%2529_mobile-phones-store_MOBGYT2HEYWFCG8Q_neo%2Fmerchandising_4&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Samsung%2Bsmartphones_LIST_productCard_cc_5_NA_view-all&cid=MOBGYT2HEYWFCG8Q
"Samsung Galaxy F16 5G (Glam Green, 128 GB)","₹13,999",4.2,"(4,138)",https://www.flipkart.com/samsung-galaxy-f16-5g-glam-green-128-gb/p/itmcdb73c7370f76?pid=MOBH9ASGDGWZV69Z&lid=LSTMOBH9ASGDGWZV69ZTSJAUH&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_45_42OTAAY8KIGZ_MC.MOBH9ASGDGWZV69Z&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Samsung%2Bsmartphones_6_45.productCard.PMU_V2_Samsung%2BGalaxy%2BF16%2B5G%2B%2528Glam%2BGreen%252C%2B128%2BGB%2529_mobile-phones-store_MOBH9ASGDGWZV69Z_neo%2Fmerchandising_5&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Samsung%2Bsmartphones_LIST_productCard_cc_6_NA_view-all&cid=MOBH9ASGDGWZV69Z
"vivo T4 Lite 5G Charger in the Box (Prism Blue, 128 GB)","₹10,999",4.5,"(5,445)",https://www.flipkart.com/vivo-t4-lite-5g-charger-box-prism-blue-128-gb/p/itm9886d6e522c4b?pid=MOBHDY9FP7WFPCEE&lid=LSTMOBHDY9FP7WFPCEE9J8DVQ&marketplace=FLIPKART&fm=neo%2Fmerchandising&iid=M_6318631a-30ba-4388-b926-3e7b49ef2b5e_46_EPL4PODYDFZ5_MC.MOBHDY9FP7WFPCEE&ppt=clp&ppn=mobile-phones-store&ssid=ptb59e69v40000001753344723871&otracker=clp_pmu_v2_Vivo%2Bsmartphones_1_46.productCard.PMU_V2_vivo%2BT4%2BLite%2B5G%2BCharger%2Bin%2Bthe%2BBox%2B%2528Prism%2BBlue%252C%2B128%2BGB%2529_mobile-phones-store_MOBHDY9FP7WFPCEE_neo%2Fmerchandising_0&otracker1=clp_pmu_v2_PINNED_neo%2Fmerchandising_Vivo%2Bsmartphones_LIST_productCard_cc_1_NA_view-all&cid=MOBHDY9FP7WFPCEE
